instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE974Z01015,8304,PRITI,PRITI INTERNATIONAL LTD,146.42,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0MJQ01012,12971,PRITIKA,PRITIKA ENG COMPO LTD,164.5,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE583R01029,5292,PRITIKAUTO,PRITIKA AUTO INDUS LTD,30.09,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE959A01019,8825,PRIVISCL,PRIVI SPECIALITY CHE LTD,1432.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0V9N01017,24508,PRIZOR,PRIZOR VIZTECH LIMITED,132.0,,,0.05,1600,EQUITY,,NSE_EQ
NSE_EQ|INE0CFG01012,23764,PRLIND,PREMIER ROADLINES LIMITED,128.25,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE994V01012,19352,PROLIFE,PROLIFE INDUSTRIES LTD,248.65,,,0.05,500,EQUITY,,NSE_EQ
NSE_EQ|INE0KN801013,8735,PROPEQUITY,P. E. ANALYTICS LIMITED,309.0,,,0.05,600,EQUITY,,NSE_EQ
NSE_EQ|INE0ONE01016,16483,PROV,PROVENTUS AGROCOM LIMITED,1600.0,,,0.05,160,EQUITY,,NSE_EQ
NSE_EQ|INE195N01013,28859,PROZONER,PROZONE REALTY LIMITED,29.53,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE010A01011,2739,PRSMJOHNSN,PRISM JOHNSON LIMITED,182.32,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE00F201020,9553,PRUDENT,PRUDENT CORP ADV SER LTD,2348.4,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE024D01016,20527,PRUDMOULI,PRUDENTIAL SUGAR CORPORAT,28.25,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE608A01012,21001,PSB,PUNJAB & SIND BANK,57.6,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE488V01015,20877,PSPPROJECT,PSP PROJECTS LIMITED,671.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INF373I01023,15061,PSUBANK,KOTAK PSU BANK,686.13,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INF204KB16I7,15032,PSUBNKBEES,NIP IND ETF PSU BANK BEES,76.77,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE877F01012,11355,PTC,PTC INDIA LIMITED,215.93,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE596F01018,16690,PTCIL,PTC INDUSTRIES LIMITED,14267.95,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE034D01049,14101,PTL,PTL ENTERPRISES LTD,45.38,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE335X01014,507,PULZ,PULZ ELECTRONICS LIMITED,148.85,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE277B01014,4344,PUNJABCHEM,PUNJAB CHEM & CROP PROT L,1298.05,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE323I01011,14926,PURVA,PURAVANKARA LIMITED,452.75,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE362A01016,6273,PVP,PVP VENTURES LIMITED,36.76,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE191H01014,13147,PVRINOX,PVR INOX LIMITED,1527.1,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE772T01024,23142,PVSL,POPULAR VEHICLES N SER L,226.74,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0MIS01010,18250,PYRAMID,PYRAMID TECHNOPLAST LTD,174.59,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0O1M01015,14613,QFIL,QUALITY FOILS (INDIA) LTD,105.0,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INF082J01408,15330,QGOLDHALF,QUANTUM GOLD FUND,59.57,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0FMW01018,11467,QMSMEDI,QMS MEDICAL ALLIED S LTD,128.1,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE0GOJ01027,5870,QUADPRO,QUADPRO ITES LIMITED,6.2,,,0.05,12000,EQUITY,,NSE_EQ
NSE_EQ|INE615P01015,17704,QUESS,QUESS CORP LIMITED,818.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0TNW01017,23793,QUESTLAB,QUEST LABORATORIES LTD,130.95,,,0.05,1200,EQUITY,,NSE_EQ
NSE_EQ|INE306L01010,13116,QUICKHEAL,QUICK HEAL TECH LTD,705.05,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0KZF01015,24960,QVCEL,QVC EXPORTS LIMITED,118.4,,,0.05,1600,EQUITY,,NSE_EQ
NSE_EQ|INE084Q01012,15391,RACE,RACE ECO CHAIN LIMITED,435.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE583V01021,10343,RADHIKAJWE,RADHIKA JEWELTECH LIMITED,113.55,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE855R01021,13580,RADIANTCMS,RADIANT CASH MGMT SER LTD,80.5,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE944F01028,10990,RADICO,RADICO KHAITAN LTD,2002.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE919I01024,19877,RADIOCITY,MUSIC BROADCAST LIMITED,15.86,,,0.01,1,EQUITY,,NSE_EQ
